Match,Winner Odds,Winner,Winner Ratio,Real Ratio,Diff,Winner,Winner Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Manchester City VS. Crystal Palace,0.9612,H,1.040366209,1.1,0.059633791,A,0,0.728602357,1,1,1.372490756
Arsenal VS. Burnley,0.8892,H,1.124606388,1.2,0.075393612,H,1,0.543116358,1,1,1.841226073
Newcastle United VS. Fulham,0.7736,H,1.292657704,1.85,0.557342296,D,0,0.525155088,0,1,1.904199395
Chelsea VS. Leicester City,0.7564,H,1.322051824,1.25,-0.072051824,A,0,0.504110133,0,1,1.983693511
Cardiff City VS. Manchester United,0.5256,A,1.902587519,1.45,-0.452587519,A,1,0.527611991,1,1,1.895332208
Wolverhampton wanderers VS. Liverpool,0.5128,A,1.950078003,1.45,-0.500078003,A,1,0.550985475,1,0,1.814929877
Everton VS. Tottenham Hotspur,0.498,A,2.008032129,2.05,0.041967871,A,1,0.547065649,1,1,1.827934183
Bournemouth VS. Brighton & Hove Albion,0.4888,H,2.045826514,1.7,-0.345826514,H,1,0.515971399,0,1,1.938091922
Huddersfield Town VS. Southampton,0.3724,A,2.68528464,2.3,-0.38528464,A,1,0.513885686,1,1,1.945958076
West Ham United VS. Watford,0.3712,D,2.693965517,3,0.306034483,A,0,0.515483775,1,0,1.939925268
