@relation PL
@ATTRIBUTE HomeValue NUMERIC
@ATTRIBUTE AwayValue NUMERIC
@ATTRIBUTE HomePtsSeas NUMERIC
@ATTRIBUTE AwayPtsSeas NUMERIC
@ATTRIBUTE HomePtsLast NUMERIC
@ATTRIBUTE AwayPtsLast NUMERIC
@ATTRIBUTE HomePtsHome NUMERIC
@ATTRIBUTE AwayPtsAway NUMERIC
@ATTRIBUTE HomeGoalsSeas NUMERIC
@ATTRIBUTE AwayGoalsSeas NUMERIC
@ATTRIBUTE HomeGoalsLast NUMERIC
@ATTRIBUTE AwayGoalsLast NUMERIC
@ATTRIBUTE HomeGoalsHome NUMERIC
@ATTRIBUTE AwayGoalsAway NUMERIC
@ATTRIBUTE HomeGoalsConcSeas NUMERIC
@ATTRIBUTE AwayGoalsConcSeas NUMERIC
@ATTRIBUTE HomeGoalsConcLast NUMERIC
@ATTRIBUTE AwayGoalsConcLast NUMERIC
@ATTRIBUTE HomeGoalsConcHome NUMERIC
@ATTRIBUTE AwayGoalsConcAway NUMERIC
@ATTRIBUTE HomeTotalShots NUMERIC
@ATTRIBUTE AwayTotalShots NUMERIC
@ATTRIBUTE HomeShotsTarget NUMERIC
@ATTRIBUTE AwayShotsTarget NUMERIC
@ATTRIBUTE HomeTotalShotsAgst NUMERIC
@ATTRIBUTE AwayTotalShotsAgst NUMERIC
@ATTRIBUTE HomeShotsTargetAgst NUMERIC
@ATTRIBUTE AwayShotsTargetAgst NUMERIC
@ATTRIBUTE HomePossession NUMERIC
@ATTRIBUTE AwayPossession NUMERIC
@ATTRIBUTE HomeExpectedWin NUMERIC
@ATTRIBUTE AwayExpectedWin NUMERIC
@ATTRIBUTE HomeTrend NUMERIC
@ATTRIBUTE AwayTrend NUMERIC
@ATTRIBUTE HomeWeightedPoints NUMERIC
@ATTRIBUTE AwayWeightedPoints NUMERIC
@ATTRIBUTE ChanceCreationHome NUMERIC
@ATTRIBUTE ChanceCreationAway NUMERIC
@ATTRIBUTE ShotsAccuracyHome NUMERIC
@ATTRIBUTE ShotsAccuracyAway NUMERIC
@ATTRIBUTE ScoringRateHome NUMERIC
@ATTRIBUTE ScoringRateAway NUMERIC
@ATTRIBUTE KeeperStrengthHome NUMERIC
@ATTRIBUTE KeeperStrengthAway NUMERIC
@ATTRIBUTE Round NUMERIC
@ATTRIBUTE Winner {H, D, A}
@ATTRIBUTE Over2.5 {True, False}
@data
0.86,0.29,0.2,0.16,0.23,0.07,0.23,0.19,0.14,0.18,0.17,0.1,0.15,0.19,0.07,0.15,0.07,0.2,0.02,0.14,0.08,0.11,0.04,0.05,0.08,0.1,0.03,0.04,0.58,0.48,0.37,0.27,0,0,0.735,0.848,0.075,0.044,0.02,0.022,0.027,0.028,0.116,0.065,0.14,D,False
0.86,0.06,0.18,0.09,0.07,0.07,0.21,0.06,0.13,0.11,0.07,0.07,0.13,0.11,0.08,0.18,0.1,0.13,0.01,0.22,0.08,0.08,0.04,0.03,0.08,0.1,0.03,0.05,0.58,0.46,0.37,0.27,-0.01,0,0.661,0.218,0.075,0.054,0.02,0.024,0.029,0.031,0.11,0.057,0.16,A,True
0.86,0.07,0.17,0.05,0.2,0,0.21,0.04,0.12,0.07,0.07,0.03,0.13,0.07,0.09,0.19,0.1,0.23,0.05,0.21,0.08,0.07,0.04,0.03,0.08,0.1,0.03,0.05,0.58,0.47,0.37,0.30,-0.01,-0.08,0.706,0.108,0.075,0.063,0.02,0.025,0.031,0.043,0.088,0.053,0.325,H,False
0.86,0.44,0.17,0.13,0.2,0.1,0.2,0.17,0.13,0.18,0.07,0.17,0.14,0.17,0.09,0.14,0.03,0.2,0.05,0.1,0.08,0.09,0.04,0.05,0.08,0.1,0.03,0.05,0.58,0.52,0.37,0.35,0.01,-0.02,0.709,0.393,0.075,0.057,0.02,0.02,0.03,0.026,0.092,0.074,0.295,H,False
0.86,0.1,0.19,0.13,0.17,0.2,0.22,0.2,0.14,0.09,0.1,0.13,0.14,0.06,0.07,0.13,0,0.1,0.02,0.04,0.08,0.08,0.04,0.03,0.08,0.1,0.03,0.04,0.58,0.4,0.37,0.34,0,-0.01,0.831,0.138,0.075,0.053,0.02,0.026,0.028,0.032,0.113,0.077,0.11,H,False
0.86,0.16,0.16,0.14,0.13,0.13,0.19,0.14,0.13,0.11,0.17,0.07,0.14,0.12,0.1,0.1,0.17,0.07,0.05,0.13,0.08,0.08,0.04,0.04,0.08,0.1,0.03,0.05,0.58,0.45,0.37,0.36,0.01,0,0.658,0.358,0.075,0.054,0.02,0.023,0.029,0.035,0.086,0.099,0.27,H,False
0.86,0.56,0.16,0.20,0.13,0.23,0.18,0.18,0.13,0.16,0.17,0.13,0.12,0.18,0.09,0.09,0.1,0.03,0.04,0.12,0.08,0.11,0.04,0.06,0.08,0.09,0.03,0.04,0.58,0.59,0.37,0.45,-0.01,0.02,0.619,0.635,0.075,0.053,0.02,0.02,0.03,0.036,0.09,0.098,0.26,H,True
0.86,0.87,0.16,0.11,0,0.13,0.19,0.06,0.12,0.13,0.07,0.2,0.12,0.1,0.09,0.16,0.2,0.17,0.04,0.19,0.08,0.1,0.04,0.05,0.08,0.09,0.03,0.05,0.58,0.57,0.37,0.34,-0.03,0,0.588,0.219,0.075,0.058,0.02,0.021,0.031,0.036,0.093,0.057,0.18,D,False
0.86,0.15,0.16,0.14,0.13,0.13,0.17,0.13,0.12,0.1,0.13,0.1,0.11,0.09,0.09,0.11,0.13,0.13,0.04,0.12,0.08,0.09,0.04,0.03,0.08,0.1,0.03,0.05,0.58,0.5,0.37,0.36,-0.01,-0.01,0.642,0.604,0.075,0.058,0.02,0.025,0.031,0.032,0.091,0.093,0.23,H,True
0.86,0.27,0.17,0.14,0.23,0.2,0.19,0.1,0.13,0.14,0.2,0.17,0.12,0.09,0.09,0.11,0.13,0.03,0.04,0.11,0.08,0.1,0.04,0.04,0.08,0.09,0.03,0.04,0.58,0.5,0.37,0.54,0.01,0.02,0.671,0.373,0.075,0.047,0.02,0.024,0.03,0.031,0.091,0.079,0.22,A,False
