Home Team: Everton
Away Team: Chelsea

Strength Expected Winner: Draw (89.00%)
Expected Goals: 3.38 (Average Std: 1.2)

Everton Expected Result According to Form: W (0.45, Count: 66, WWD)
Chelsea Expected Result According to Form: D (0.34, Count: 58, WLW)
Letters Expected Results: Home (45%)

-----------------------

Home team attributes: 
This Team is One of the Most Accurate In Front Of Goal Teams in the League.

Away Team attributes: 
This Team is One of the Most Accurate In Front Of Goal Teams in the League.

Attributes Clashing Winner:  (0%)

-----------------------

Everton Top Scorer: Romelu Lukaku (24)
Chelsea Top Scorer: Diego Costa (19)

-----------------------

Everton Scoring positions: 
Forward => 30
Midfielder => 15
Defender => 11
NA => 4

Chelsea Scoring positions: 
Midfielder => 29
Forward => 27
Defender => 11
NA => 2

Everton Conceded positions: 
Forward => 19
Midfielder => 13
Defender => 4
NA => 1

Chelsea Conceded positions: 
Midfielder => 14
Forward => 10
Defender => 4
NA => 1
