Home Team: Bournemouth
Away Team: Everton

Strength Expected Winner: Away (66.00%)
Expected Goals: 2.6 (Average Std: 1.2)

Bournemouth Expected Result According to Form: L (0.46, Count: 79, LLD)
Everton Expected Result According to Form: L (0.44, Count: 44, WDD)
Letters Expected Results: Home (46%)

-----------------------

Bournemouth Top Scorer: Callum Wilson (4)
Everton Top Scorer: Wayne Rooney (10)

-----------------------

Bournemouth Scoring positions: 
Forward => 9
Midfielder => 6
Defender => 3

Everton Scoring positions: 
Forward => 18
Defender => 3
Midfielder => 3

Bournemouth Conceded positions: 
Forward => 16
Midfielder => 9
Defender => 5

Everton Conceded positions: 
Forward => 14
Midfielder => 13
Defender => 3
