2019-08-09	Liverpool	Norwich City									
2019-08-10	Bournemouth	Sheffield United									
2019-08-10	Burnley	Southampton									
2019-08-10	Crystal Palace	Everton									
2019-08-10	Leicester City	Wolverhampton Wanderers									
2019-08-10	Tottenham Hotspur	Aston Villa									
2019-08-10	Watford	Brighton & Hove Albion									
2019-08-10	West Ham United	Manchester City									
2019-08-11	Manchester United	Chelsea									
2019-08-11	Newcastle United	Arsenal									
2019-08-17	Arsenal	Burnley									
2019-08-17	Aston Villa	Bournemouth									
2019-08-17	Brighton & Hove Albion	West Ham United									
2019-08-17	Chelsea	Leicester City									
2019-08-17	Everton	Watford									
2019-08-17	Manchester City	Tottenham Hotspur									
2019-08-17	Norwich City	Newcastle United									
2019-08-17	Sheffield United	Crystal Palace									
2019-08-17	Southampton	Liverpool									
2019-08-17	Wolverhampton Wanderers	Manchester United									
2019-08-24	Aston Villa	Everton									
2019-08-24	Bournemouth	Manchester City									
2019-08-24	Brighton & Hove Albion	Southampton									
2019-08-24	Liverpool	Arsenal									
2019-08-24	Manchester United	Crystal Palace									
2019-08-24	Norwich City	Chelsea									
2019-08-24	Sheffield United	Leicester City									
2019-08-24	Tottenham Hotspur	Newcastle United									
2019-08-24	Watford	West Ham United									
2019-08-24	Wolverhampton Wanderers	Burnley									
2019-08-31	Arsenal	Tottenham Hotspur									
2019-08-31	Burnley	Liverpool									
2019-08-31	Chelsea	Sheffield United									
2019-08-31	Crystal Palace	Aston Villa									
2019-08-31	Everton	Wolverhampton Wanderers									
2019-08-31	Leicester City	Bournemouth									
2019-08-31	Manchester City	Brighton & Hove Albion									
2019-08-31	Newcastle United	Watford									
2019-08-31	Southampton	Manchester United									
2019-08-31	West Ham United	Norwich City									
2019-09-14	Aston Villa	West Ham United									
2019-09-14	Bournemouth	Everton									
2019-09-14	Brighton & Hove Albion	Burnley									
2019-09-14	Liverpool	Newcastle United									
2019-09-14	Manchester United	Leicester City									
2019-09-14	Norwich City	Manchester City									
2019-09-14	Sheffield United	Southampton									
2019-09-14	Tottenham Hotspur	Crystal Palace									
2019-09-14	Watford	Arsenal									
2019-09-14	Wolverhampton Wanderers	Chelsea									
2019-09-21	Arsenal	Aston Villa									
2019-09-21	Burnley	Norwich City									
2019-09-21	Chelsea	Liverpool									
2019-09-21	Crystal Palace	Wolverhampton Wanderers									
2019-09-21	Everton	Sheffield United									
2019-09-21	Leicester City	Tottenham Hotspur									
2019-09-21	Manchester City	Watford									
2019-09-21	Newcastle United	Brighton & Hove Albion									
2019-09-21	Southampton	Bournemouth									
2019-09-21	West Ham United	Manchester United									
2019-09-28	Aston Villa	Burnley									
2019-09-28	Bournemouth	West Ham United									
2019-09-28	Chelsea	Brighton & Hove Albion									
2019-09-28	Crystal Palace	Norwich City									
2019-09-28	Everton	Manchester City									
2019-09-28	Leicester City	Newcastle United									
2019-09-28	Manchester United	Arsenal									
2019-09-28	Sheffield United	Liverpool									
2019-09-28	Tottenham Hotspur	Southampton									
2019-09-28	Wolverhampton Wanderers	Watford									
2019-10-05	Arsenal	Bournemouth									
2019-10-05	Brighton & Hove Albion	Tottenham Hotspur									
2019-10-05	Burnley	Everton									
2019-10-05	Liverpool	Leicester City									
2019-10-05	Manchester City	Wolverhampton Wanderers									
2019-10-05	Newcastle United	Manchester United									
2019-10-05	Norwich City	Aston Villa									
2019-10-05	Southampton	Chelsea									
2019-10-05	Watford	Sheffield United									
2019-10-05	West Ham United	Crystal Palace									
2019-10-19	Aston Villa	Brighton & Hove Albion									
2019-10-19	Bournemouth	Norwich City									
2019-10-19	Chelsea	Newcastle United									
2019-10-19	Crystal Palace	Manchester City									
2019-10-19	Everton	West Ham United									
2019-10-19	Leicester City	Burnley									
2019-10-19	Manchester United	Liverpool									
2019-10-19	Sheffield United	Arsenal									
2019-10-19	Tottenham Hotspur	Watford									
2019-10-19	Wolverhampton Wanderers	Southampton									
2019-10-26	Arsenal	Crystal Palace									
2019-10-26	Brighton & Hove Albion	Everton									
2019-10-26	Burnley	Chelsea									
2019-10-26	Liverpool	Tottenham Hotspur									
2019-10-26	Manchester City	Aston Villa									
2019-10-26	Newcastle United	Wolverhampton Wanderers									
2019-10-26	Norwich City	Manchester United									
2019-10-26	Southampton	Leicester City									
2019-10-26	Watford	Bournemouth									
2019-10-26	West Ham United	Sheffield United									
2019-11-02	Arsenal	Wolverhampton Wanderers									
2019-11-02	Aston Villa	Liverpool									
2019-11-02	Bournemouth	Manchester United									
2019-11-02	Brighton & Hove Albion	Norwich City									
2019-11-02	Crystal Palace	Leicester City									
2019-11-02	Everton	Tottenham Hotspur									
2019-11-02	Manchester City	Southampton									
2019-11-02	Sheffield United	Burnley									
2019-11-02	Watford	Chelsea									
2019-11-02	West Ham United	Newcastle United									
2019-11-09	Burnley	West Ham United									
2019-11-09	Chelsea	Crystal Palace									
2019-11-09	Leicester City	Arsenal									
2019-11-09	Liverpool	Manchester City									
2019-11-09	Manchester United	Brighton & Hove Albion									
2019-11-09	Newcastle United	Bournemouth									
2019-11-09	Norwich City	Watford									
2019-11-09	Southampton	Everton									
2019-11-09	Tottenham Hotspur	Sheffield United									
2019-11-09	Wolverhampton Wanderers	Aston Villa									
2019-11-23	Arsenal	Southampton									
2019-11-23	Aston Villa	Newcastle United									
2019-11-23	Bournemouth	Wolverhampton Wanderers									
2019-11-23	Brighton & Hove Albion	Leicester City									
2019-11-23	Crystal Palace	Liverpool									
2019-11-23	Everton	Norwich City									
2019-11-23	Manchester City	Chelsea									
2019-11-23	Sheffield United	Manchester United									
2019-11-23	Watford	Burnley									
2019-11-23	West Ham United	Tottenham Hotspur									
2019-11-30	Burnley	Crystal Palace									
2019-11-30	Chelsea	West Ham United									
2019-11-30	Leicester City	Everton									
2019-11-30	Liverpool	Brighton & Hove Albion									
2019-11-30	Manchester United	Aston Villa									
2019-11-30	Newcastle United	Manchester City									
2019-11-30	Norwich City	Arsenal									
2019-11-30	Southampton	Watford									
2019-11-30	Tottenham Hotspur	Bournemouth									
2019-11-30	Wolverhampton Wanderers	Sheffield United									
2019-12-03	Arsenal	Brighton & Hove Albion									
2019-12-03	Burnley	Manchester City									
2019-12-03	Leicester City	Watford									
2019-12-03	Manchester United	Tottenham Hotspur									
2019-12-03	Sheffield United	Newcastle United									
2019-12-03	Wolverhampton Wanderers	West Ham United									
2019-12-04	Chelsea	Aston Villa									
2019-12-04	Crystal Palace	Bournemouth									
2019-12-04	Liverpool	Everton									
2019-12-04	Southampton	Norwich City									
2019-12-07	Aston Villa	Leicester City									
2019-12-07	Bournemouth	Liverpool									
2019-12-07	Brighton & Hove Albion	Wolverhampton Wanderers									
2019-12-07	Everton	Chelsea									
2019-12-07	Manchester City	Manchester United									
2019-12-07	Newcastle United	Southampton									
2019-12-07	Norwich City	Sheffield United									
2019-12-07	Tottenham Hotspur	Burnley									
2019-12-07	Watford	Crystal Palace									
2019-12-07	West Ham United	Arsenal									
2019-12-14	Arsenal	Manchester City									
2019-12-14	Burnley	Newcastle United									
2019-12-14	Chelsea	Bournemouth									
2019-12-14	Crystal Palace	Brighton & Hove Albion									
2019-12-14	Leicester City	Norwich City									
2019-12-14	Liverpool	Watford									
2019-12-14	Manchester United	Everton									
2019-12-14	Sheffield United	Aston Villa									
2019-12-14	Southampton	West Ham United									
2019-12-14	Wolverhampton Wanderers	Tottenham Hotspur									
2019-12-21	Aston Villa	Southampton									
2019-12-21	Bournemouth	Burnley									
2019-12-21	Brighton & Hove Albion	Sheffield United									
2019-12-21	Everton	Arsenal									
2019-12-21	Manchester City	Leicester City									
2019-12-21	Newcastle United	Crystal Palace									
2019-12-21	Norwich City	Wolverhampton Wanderers									
2019-12-21	Tottenham Hotspur	Chelsea									
2019-12-21	Watford	Manchester United									
2019-12-21	West Ham United	Liverpool									
2019-12-26	Aston Villa	Norwich City									
2019-12-26	Bournemouth	Arsenal									
2019-12-26	Chelsea	Southampton									
2019-12-26	Crystal Palace	West Ham United									
2019-12-26	Everton	Burnley									
2019-12-26	Leicester City	Liverpool									
2019-12-26	Manchester United	Newcastle United									
2019-12-26	Sheffield United	Watford									
2019-12-26	Tottenham Hotspur	Brighton & Hove Albion									
2019-12-26	Wolverhampton Wanderers	Manchester City									
2019-12-28	Arsenal	Chelsea									
2019-12-28	Brighton & Hove Albion	Bournemouth									
2019-12-28	Burnley	Manchester United									
2019-12-28	Liverpool	Wolverhampton Wanderers									
2019-12-28	Manchester City	Sheffield United									
2019-12-28	Newcastle United	Everton									
2019-12-28	Norwich City	Tottenham Hotspur									
2019-12-28	Southampton	Crystal Palace									
2019-12-28	Watford	Aston Villa									
2019-12-28	West Ham United	Leicester City									
2020-01-01	Arsenal	Manchester United									
2020-01-01	Brighton & Hove Albion	Chelsea									
2020-01-01	Burnley	Aston Villa									
2020-01-01	Liverpool	Sheffield United									
2020-01-01	Manchester City	Everton									
2020-01-01	Newcastle United	Leicester City									
2020-01-01	Norwich City	Crystal Palace									
2020-01-01	Southampton	Tottenham Hotspur									
2020-01-01	Watford	Wolverhampton Wanderers									
2020-01-01	West Ham United	Bournemouth									
2020-01-11	Aston Villa	Manchester City									
2020-01-11	Bournemouth	Watford									
2020-01-11	Chelsea	Burnley									
2020-01-11	Crystal Palace	Arsenal									
2020-01-11	Everton	Brighton & Hove Albion									
2020-01-11	Leicester City	Southampton									
2020-01-11	Manchester United	Norwich City									
2020-01-11	Sheffield United	West Ham United									
2020-01-11	Tottenham Hotspur	Liverpool									
2020-01-11	Wolverhampton Wanderers	Newcastle United									
2020-01-18	Arsenal	Sheffield United									
2020-01-18	Brighton & Hove Albion	Aston Villa									
2020-01-18	Burnley	Leicester City									
2020-01-18	Liverpool	Manchester United									
2020-01-18	Manchester City	Crystal Palace									
2020-01-18	Newcastle United	Chelsea									
2020-01-18	Norwich City	Bournemouth									
2020-01-18	Southampton	Wolverhampton Wanderers									
2020-01-18	Watford	Tottenham Hotspur									
2020-01-18	West Ham United	Everton									
2020-01-21	Aston Villa	Watford									
2020-01-21	Bournemouth	Brighton & Hove Albion									
2020-01-21	Everton	Newcastle United									
2020-01-21	Leicester City	West Ham United									
2020-01-21	Manchester United	Burnley									
2020-01-21	Sheffield United	Manchester City									
2020-01-21	Wolverhampton Wanderers	Liverpool									
2020-01-22	Chelsea	Arsenal									
2020-01-22	Crystal Palace	Southampton									
2020-01-22	Tottenham Hotspur	Norwich City									
2020-02-01	Bournemouth	Aston Villa									
2020-02-01	Burnley	Arsenal									
2020-02-01	Crystal Palace	Sheffield United									
2020-02-01	Leicester City	Chelsea									
2020-02-01	Liverpool	Southampton									
2020-02-01	Manchester United	Wolverhampton Wanderers									
2020-02-01	Newcastle United	Norwich City									
2020-02-01	Tottenham Hotspur	Manchester City									
2020-02-01	Watford	Everton									
2020-02-01	West Ham United	Brighton & Hove Albion									
2020-02-15	Arsenal	Newcastle United									
2020-02-15	Aston Villa	Tottenham Hotspur									
2020-02-08	Brighton & Hove Albion	Watford									
2020-02-15	Chelsea	Manchester United									
2020-02-08	Everton	Crystal Palace									
2020-02-08	Manchester City	West Ham United									
2020-02-15	Norwich City	Liverpool									
2020-02-08	Sheffield United	Bournemouth									
2020-02-15	Southampton	Burnley									
2020-02-15	Wolverhampton Wanderers	Leicester City									
2020-02-22	Arsenal	Everton									
2020-02-22	Burnley	Bournemouth									
2020-02-22	Chelsea	Tottenham Hotspur									
2020-02-22	Crystal Palace	Newcastle United									
2020-02-22	Leicester City	Manchester City									
2020-02-22	Liverpool	West Ham United									
2020-02-22	Manchester United	Watford									
2020-02-22	Sheffield United	Brighton & Hove Albion									
2020-02-22	Southampton	Aston Villa									
2020-02-22	Wolverhampton Wanderers	Norwich City									
2020-02-29	Aston Villa	Sheffield United									
2020-02-29	Bournemouth	Chelsea									
2020-02-29	Brighton & Hove Albion	Crystal Palace									
2020-02-29	Everton	Manchester United									
2020-02-29	Manchester City	Arsenal									
2020-02-29	Newcastle United	Burnley									
2020-02-29	Norwich City	Leicester City									
2020-02-29	Tottenham Hotspur	Wolverhampton Wanderers									
2020-02-29	Watford	Liverpool									
2020-02-29	West Ham United	Southampton									
2020-03-07	Arsenal	West Ham United									
2020-03-07	Burnley	Tottenham Hotspur									
2020-03-07	Chelsea	Everton									
2020-03-07	Crystal Palace	Watford									
2020-03-07	Leicester City	Aston Villa									
2020-03-07	Liverpool	Bournemouth									
2020-03-07	Manchester United	Manchester City									
2020-03-07	Sheffield United	Norwich City									
2020-03-07	Southampton	Newcastle United									
2020-03-07	Wolverhampton Wanderers	Brighton & Hove Albion									
2020-03-14	Aston Villa	Chelsea									
2020-03-14	Bournemouth	Crystal Palace									
2020-03-14	Brighton & Hove Albion	Arsenal									
2020-03-14	Everton	Liverpool									
2020-03-14	Manchester City	Burnley									
2020-03-14	Newcastle United	Sheffield United									
2020-03-14	Norwich City	Southampton									
2020-03-14	Tottenham Hotspur	Manchester United									
2020-03-14	Watford	Leicester City									
2020-03-14	West Ham United	Wolverhampton Wanderers									
2020-03-21	Burnley	Watford									
2020-03-21	Chelsea	Manchester City									
2020-03-21	Leicester City	Brighton & Hove Albion									
2020-03-21	Liverpool	Crystal Palace									
2020-03-21	Manchester United	Sheffield United									
2020-03-21	Newcastle United	Aston Villa									
2020-03-21	Norwich City	Everton									
2020-03-21	Southampton	Arsenal									
2020-03-21	Tottenham Hotspur	West Ham United									
2020-03-21	Wolverhampton Wanderers	Bournemouth									
2020-04-04	Arsenal	Norwich City									
2020-04-04	Aston Villa	Wolverhampton Wanderers									
2020-04-04	Bournemouth	Newcastle United									
2020-04-04	Brighton & Hove Albion	Manchester United									
2020-04-04	Crystal Palace	Burnley									
2020-04-04	Everton	Leicester City									
2020-04-04	Manchester City	Liverpool									
2020-04-04	Sheffield United	Tottenham Hotspur									
2020-04-04	Watford	Southampton									
2020-04-04	West Ham United	Chelsea									
2020-04-11	Burnley	Sheffield United									
2020-04-11	Chelsea	Watford									
2020-04-11	Leicester City	Crystal Palace									
2020-04-11	Liverpool	Aston Villa									
2020-04-11	Manchester United	Bournemouth									
2020-04-11	Newcastle United	West Ham United									
2020-04-11	Norwich City	Brighton & Hove Albion									
2020-04-11	Southampton	Manchester City									
2020-04-11	Tottenham Hotspur	Everton									
2020-04-11	Wolverhampton Wanderers	Arsenal									
2020-04-18	Arsenal	Leicester City									
2020-04-18	Aston Villa	Manchester United									
2020-04-18	Bournemouth	Tottenham Hotspur									
2020-04-18	Brighton & Hove Albion	Liverpool									
2020-04-18	Crystal Palace	Chelsea									
2020-04-18	Everton	Southampton									
2020-04-18	Manchester City	Newcastle United									
2020-04-18	Sheffield United	Wolverhampton Wanderers									
2020-04-18	Watford	Norwich City									
2020-04-18	West Ham United	Burnley									
2020-04-25	Aston Villa	Crystal Palace									
2020-04-25	Bournemouth	Leicester City									
