Match,Winner Odds,Winner,Winner Ratio,Real Ratio,Diff,Winner,IsCorrect,Goals Odds,IsOver,OverCorrect,Over Ratio
Manchester City VS. Burnley,0.874,H,1.14416476,1,-0.14416476,H,1,0.648563184,1,1,1.541869821
West Ham United VS. Tottenham Hotspur,0.5592,A,1.788268956,1.6,-0.188268956,A,1,0.538155031,1,0,1.858200597
Everton VS. Crystal Palace,0.556,H,1.798561151,1.7,-0.098561151,H,1,0.515317444,0,1,1.940551424
Huddersfield Town VS. Liverpool,0.5272,A,1.896813354,1.15,-0.746813354,A,1,0.54210427,1,0,1.844663573
Chelsea VS. Manchester United,0.5188,H,1.927525058,1.55,-0.377525058,D,0,0.603174449,1,1,1.657895162
Cardiff City VS. Fulham,0.5104,H,1.959247649,2.25,0.290752351,H,1,0.500558211,1,1,1.997769648
Bournemouth VS. Southampton,0.494,H,2.024291498,1.85,-0.174291498,D,0,0.570800864,1,0,1.751924467
Arsenal VS. Leicester City,0.482,H,2.074688797,1.4,-0.674688797,H,1,0.528409997,1,1,1.892469871
Wolverhampton wanderers VS. Watford,0.4468,H,2.238137869,1.65,-0.588137869,A,0,0.506294753,0,1,1.975134037
Newcastle United VS. Brighton & Hove Albion,0.416,D,2.403846154,2.8,0.396153846,A,0,0.537360918,0,1,1.86094665
