Match,Winner Odds,Winner,Favorite Ratio,Real Ratio,Diff,Winner,IsCorrect,Goals Odds,IsOver,Over Correct,Over Ratio
Huddersfield Town VS. Fulham,0.5264,H,1.899696049,2.25,0.350303951,H,1,0.51657923,0,1,1.935811473
Arsenal VS. Liverpool,0.4884,A,2.047502048,2.05,0.002497952,D,0,0.555883208,1,0,1.798939032
Everton VS. Brighton & Hove Albion,0.6672,H,1.498800959,1.5,0.001199041,H,1,0.508403086,0,0,1.966943213
West Ham United VS. Burnley,0.6052,H,1.652346332,1.65,-0.002346332,H,1,0.562786009,0,0,1.776874306
Manchester City VS. Southampton,0.9148,H,1.093135111,1.05,-0.043135111,H,1,0.696415502,1,1,1.435924382
Chelsea VS. Crystal Palace,0.7036,H,1.421262081,1.2,-0.221262081,H,1,0.572765958,1,1,1.745913816
Wolverhampton wanderers VS. Tottenham Hotspur,0.43,A,2.325581395,2.05,-0.275581395,A,1,0.535542196,1,1,1.867266496
Bournemouth VS. Manchester United,0.4492,A,2.226179875,1.9,-0.326179875,A,1,0.532803598,1,1,1.876864204
Newcastle United VS. Watford,0.37,A,2.702702703,2.35,-0.352702703,H,0,0.516277424,1,0,1.93694311
Cardiff City VS. Leicester City,0.4516,A,2.214348981,1.8,-0.414348981,A,1,0.504601072,0,1,1.981763527
