Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Real Ratio,Diff,Draw Ratio,Correct,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Manchester City VS. Crystal Palace,0.936,0.0248,0.0392,0.936,H,1.068376068,1.05,-0.018376068,0,D,0,0.683461294,1,1,1.463140646
Liverpool VS. Manchester United,0.8264,0.0848,0.0888,0.8264,H,1.210067764,1.35,0.139932236,0,H,1,0.624486026,1,0,1.601316856
Newcastle United VS. Chelsea,0.716,0.716,0.2096,0.0744,A,1.396648045,1.4,0.003351955,0,H,0,0.558539714,1,0,1.790382983
Burnley VS. Leicester City,0.7152,0.7152,0.1084,0.1764,A,1.398210291,1.7,0.301789709,0,H,0,0.558862102,1,1,1.789350175
Brighton & Hove Albion VS. Aston Villa,0.5912,0.1588,0.25,0.5912,H,1.691474966,1.5,-0.191474966,0,D,0,0.509640519,1,0,1.962167377
Norwich City VS. Bournemouth,0.5628,0.1448,0.2924,0.5628,H,1.776830135,2.05,0.273169865,0,H,1,0.567358702,0,1,1.762553384
Arsenal VS. Sheffield United,0.4292,0.232,0.4292,0.3388,D,2.329916123,3.15,0.820083877,0,D,1,0.52039235,0,1,1.92162702
West Ham United VS. Everton,0.4184,0.4184,0.258,0.3236,A,2.390057361,2.25,-0.140057361,0,D,0,0.531595051,1,0,1.881131131
Southampton VS. Wolverhampton Wanderers,0.4,0.2992,0.3008,0.4,H,2.5,2.3,-0.2,0,A,0,0.503951255,0,0,1.984318898
Watford VS. Tottenham Hotspur,0.3968,0.3712,0.232,0.3968,H,2.52016129,3,0.47983871,0,D,0,0.51134174,0,1,1.955639295
