Home Team: Everton
Away Team: Bournemouth

Strength Expected Winner: Draw (20.0%)
Expected Goals: 2.14 (Average Std: 0.9)

Everton Expected Result According to Form: L (0.48, Count: 135, LLL)
Bournemouth Expected Result According to Form: L (0.39, Count: 80, LLW)
Letters Expected Results: Home (48%)

-----------------------

Everton Top Scorer: Wayne Rooney (2)
Bournemouth Top Scorer: Charlie Daniels (1)

-----------------------

Everton Scoring positions: 
Forward => 2

Bournemouth Scoring positions: 
Defender => 1
Midfielder => 1
Forward => 1

Everton Conceded positions: 
Forward => 6
Midfielder => 3
Defender => 1

Bournemouth Conceded positions: 
Forward => 5
Midfielder => 2
Defender => 1
