Match,Winner Odds,Winner,Winner Ratio,Goals Odds,IsOver,Over Ratio
Brighton & Hove Albion VS. West Ham United,0.4084,H,2.448579823702253,0.5180346803609716,0,1.9303726910777292
Burnley VS. Huddersfield Town,0.4912,H,2.035830618892508,0.5571811490625093,0,1.7947484434506804
Crystal Palace VS. Wolverhampton wanderers,0.364,D,2.7472527472527473,0.5289952141915223,1,1.8903762702812483
Fulham VS. Arsenal,0.4392,A,2.276867030965392,0.5286522135989743,1,1.8916027858696933
Leicester City VS. Everton,0.3904,H,2.5614754098360657,0.5220545941116914,1,1.9155084760848864
Liverpool VS. Manchester City,0.4748,A,2.106149957877001,0.6151131249059408,1,1.6257172209630766
Manchester United VS. Newcastle United,0.39,D,2.5641025641025643,0.5163318219959955,0,1.9367390453183335
Southampton VS. Chelsea,0.6864,A,1.456876456876457,0.5476920764223968,1,1.8258434676144002
Tottenham Hotspur VS. Cardiff City,0.4332,H,2.308402585410896,0.5254878350161991,1,1.9029936249031782
Watford VS. Bournemouth,0.488,H,2.0491803278688527,0.5054297792025946,1,1.978514209387658
