Home Team: Everton
Away Team: Crystal Palace

Strength Expected Winner: Draw (2.00%)
Expected Goals: 2.73 (Average Std: 1.2)

Everton Expected Result According to Form: L (0.44, Count: 61, DWL)
Crystal Palace Expected Result According to Form: L (0.44, Count: 45, LDD)
Letters Expected Results: Away (44%)

-----------------------

Everton Top Scorer: Wayne Rooney (10)
Crystal Palace Top Scorer: Luka Milivojevic (6)

-----------------------

Everton Scoring positions: 
Forward => 20
Midfielder => 4
Defender => 3
NA => 2

Crystal Palace Scoring positions: 
Midfielder => 18
Defender => 3
Forward => 2
NA => 1

Everton Conceded positions: 
Midfielder => 21
Forward => 19
Defender => 4
NA => 1

Crystal Palace Conceded positions: 
Midfielder => 17
Forward => 15
Defender => 5
NA => 2
