Match,Winner Odds,Winner,Winner Ratio,Real Ratio,Diff,Correct,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Manchester City VS. West Ham United,0.9636,H,1.03777501,1.15,0.11222499,H,1,0.799906266,1,0,1.250146477
Liverpool VS. Watford,0.7776,H,1.28600823,1.2,-0.08600823,H,1,0.580492655,1,1,1.722674683
Arsenal VS. Bournemouth,0.696,H,1.436781609,1.35,-0.086781609,H,1,0.504580643,1,1,1.981843764
Chelsea VS. Tottenham Hotspur,0.634,H,1.577287066,2.2,0.622712934,H,1,0.544240238,1,0,1.837423862
Crystal Palace VS. Manchester United,0.612,A,1.633986928,2.15,0.516013072,A,1,0.521575299,1,1,1.917268708
Leicester City VS. Brighton & Hove Albion,0.566,H,1.766784452,1.7,-0.066784452,H,1,0.528193438,0,0,1.893245785
Southampton VS. Fulham,0.5564,H,1.797268152,1.75,-0.047268152,H,1,0.520074103,0,1,1.922802912
Huddersfield Town VS. Wolverhampton wanderers,0.4772,A,2.095557418,1.55,-0.545557418,H,0,0.542788627,1,0,1.842337789
Cardiff City VS. Everton,0.4436,A,2.254283138,1.9,-0.354283138,A,1,0.515478963,0,1,1.939943376
Newcastle United VS. Burnley,0.4252,H,2.351834431,1.9,-0.451834431,H,1,0.523491354,0,1,1.910251226
