Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Real Ratio,Diff,Winner,Model Correct,Goals Odds,IsOver,OverCorrect,Over Ratio
Bournemouth VS. Norwich City,0.6276,0.214,0.1584,0.6276,H,1.593371574,1.6,0.006628426,D,0,0.527113351,0,1,1.89712516
Chelsea VS. Newcastle United,0.5936,0.0928,0.3136,0.5936,H,1.684636119,1.15,-0.534636119,H,1,0.511684085,1,0,1.954330865
Crystal Palace VS. Manchester City,0.5832,0.5832,0.1572,0.2596,A,1.714677641,1.1,-0.614677641,A,1,0.537663224,1,0,1.859900316
Wolverhampton Wanderers VS. Southampton,0.5128,0.2684,0.2188,0.5128,H,1.950078003,1.55,-0.400078003,D,0,0.548966858,0,1,1.82160359
Tottenham Hotspur VS. Watford,0.5032,0.266,0.2308,0.5032,H,1.987281399,1.25,-0.737281399,D,0,0.512814129,0,1,1.950024275
Aston Villa VS. Brighton & Hove Albion,0.472,0.218,0.31,0.472,H,2.118644068,2.1,-0.018644068,H,1,0.503923996,1,1,1.984426239
Leicester City VS. Burnley,0.4696,0.2524,0.278,0.4696,H,2.129471891,1.35,-0.779471891,H,1,0.535054309,1,1,1.868969156
Sheffield United VS. Arsenal,0.44,0.44,0.3192,0.2408,A,2.272727273,1.65,-0.622727273,,0,0.537707484,1,0,1.859747223
Manchester United VS. Liverpool,0.4024,0.4024,0.2392,0.3584,A,2.485089463,1.55,-0.935089463,D,0,0.540209376,1,,1.851134105
Everton VS. West Ham United,0.39,0.2884,0.39,0.3216,D,2.564102564,2.95,0.385897436,H,0,0.523142945,1,0,1.911523435
