Match,Winner Odds,Winner,Winner Ratio,Goals Odds,IsOver,Over Ratio
Brighton & Hove Albion VS. Burnley,0.4644,H,2.153316106804479,0.5103337994231365,0,1.9595018028011568
Crystal Palace VS. West Ham United,0.4696,H,2.1294718909710393,0.5047884267336763,0,1.9810279852703412
Fulham VS. Manchester United,0.7092,A,1.4100394811054708,0.5397214351917379,1,1.8528076426031637
Huddersfield Town VS. Arsenal,0.5636,A,1.7743080198722498,0.5226011156422957,1,1.9135052912601682
Liverpool VS. Bournemouth,0.718,H,1.392757660167131,0.5911333997835003,1,1.6916655366897642
Manchester City VS. Chelsea,0.7508,H,1.3319126265316996,0.7552318361022947,1,1.3240967239423311
Southampton VS. Cardiff City,0.566,H,1.76678445229682,0.509679720891164,0,1.9620164566318659
Tottenham Hotspur VS. Leicester City,0.5688,H,1.758087201125176,0.5031474213297006,0,1.987489069023219
Watford VS. Everton,0.5376,H,1.8601190476190477,0.5010092505635938,1,1.9959711300242122
Wolverhampton wanderers VS. Newcastle United,0.384,H,2.604166666666667,0.509481027165648,0,1.9627816281269863
