Match,Winner Odds,Winner,Winner Ratio,Goals Odds,IsOver,Over Ratio
Brighton & Hove Albion VS. Wolverhampton wanderers,0.5496,H,1.8195050946142648,0.5050799741796371,0,1.979884475966848
Burnley VS. Chelsea,0.5664,A,1.7655367231638417,0.5313920239672875,1,1.8818498488821127
Crystal Palace VS. Arsenal,0.4744,A,2.1079258010118043,0.5109915056668674,1,1.9569796932239687
Fulham VS. Bournemouth,0.41,A,2.4390243902439024,0.5055225550647543,0,1.978151103212212
Leicester City VS. West Ham United,0.4532,H,2.206531332744925,0.5296188946214275,0,1.888150158832233
Liverpool VS. Cardiff City,0.6164,H,1.6223231667748217,0.5237200633571848,1,1.9094170148642657
Manchester United VS. Everton,0.4696,D,2.1294718909710393,0.512895423364806,1,1.9497151942584838
Southampton VS. Newcastle United,0.6612,D,1.512401693889897,0.555263410357962,0,1.8009470484563883
Tottenham Hotspur VS. Manchester City,0.6168,A,1.6212710765239948,0.5351744874870444,1,1.8685494607479922
Watford VS. Huddersfield Town,0.4192,H,2.3854961832061066,0.5724443375475106,0,1.7468947361489169
