Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Real Ratio,Diff,Draw Ratio,Winner,Model Correct,Goals Odds,IsOver,Over Corect,Over Ratio
Arsenal VS. West Ham United,0.498,0.1964,0.3056,0.498,H,2.008032129,1.4,-0.608032129,0,,,0.509634576,1,,1.962190258
Burnley VS. Tottenham Hotspur,0.3824,0.3824,0.3084,0.3092,A,2.615062762,2.2,-0.415062762,0,,,0.514823409,1,,1.942413616
Chelsea VS. Everton,0.504,0.266,0.23,0.504,H,1.984126984,1.65,-0.334126984,0,,,0.536017346,1,,1.865611265
Crystal Palace VS. Watford,0.3744,0.2532,0.3724,0.3744,H,2.670940171,2.25,-0.420940171,0,,,0.512632884,0,,1.950713718
Leicester City VS. Aston Villa,0.6624,0.0812,0.2564,0.6624,H,1.509661836,1.25,-0.259661836,0,,,0.531055099,0,,1.883043777
Liverpool VS. Bournemouth,0.9224,0.0356,0.042,0.9224,H,1.084128361,1.1,0.015871639,0,,,0.57961696,1,,1.725277329
Manchester United VS. Manchester City,0.4212,0.4212,0.208,0.3708,A,2.374169041,1.55,-0.824169041,0,,,0.55011558,1,,1.817799816
Sheffield United VS. Norwich City,0.3876,0.232,0.3804,0.3876,H,2.57997936,1.5,-1.07997936,0,,,0.502731491,0,,1.989133398
Southampton VS. Newcastle United,0.5264,0.2444,0.2292,0.5264,H,1.899696049,1.55,-0.349696049,0,,,0.528141522,0,,1.89343189
Wolverhampton Wanderers VS. Brighton & Hove Albion,0.3924,0.3032,0.3044,0.3924,H,2.54841998,1.45,-1.09841998,0,,,0.504548128,0,,1.98197148
