Match,HomeValue,AwayValue,HomePtsSeas,AwayPtsSeas,HomePtsLast,AwayPtsLast,HomePtsHome,AwayPtsAway,HomeGoalsSeas,AwayGoalsSeas,HomeGoalsLast,AwayGoalsLast,HomeGoalsHome,AwayGoalsAway,HomeGoalsExpected,AwayGoalsExpected,HomeGoalsConcSeas,AwayGoalsConcSeas,HomeGoalsConcLast,AwayGoalsConcLast,HomeGoalsConcHome,AwayGoalsConcAway,HomeGoalsExpectedConc,AwayGoalsExpectedConc,HomeGoalsExpectedVsTeam,AwayGoalsExpectedVsTeam,HomeTotalShots,AwayTotalShots,HomeShotsTarget,AwayShotsTarget,HomeTotalShotsAgst,AwayTotalShotsAgst,HomeShotsTargetAgst,AwayShotsTargetAgst,HomeTotalShotsVsTeam,AwayTotalShotsVsTeam,HomeShotsTargetVsTeam,AwayShotsTargetVsTeam,HomePossession,AwayPossession,HomeExpectedWin,AwayExpectedWin,HomeTrend,AwayTrend,HomeWeightedPoints,AwayWeightedPoints,ChanceCreationHome,ChanceCreationAway,ShotsAccuracyHome,ShotsAccuracyAway,ScoringRateHome,ScoringRateAway,KeeperStrengthHome,KeeperStrengthAway,Round,HomeTeamOdds,DrawOdds,AwayTeamOdds,IsHomeFavorite,Winner,Over2.5,
Bournemouth VS. Crystal Palace,0.0164,0.0215,0.17,0.12,0.1,0.13,0.23,0.2,0.17,0.07,0.13,0.03,0.27,0.13,0.19,0.08,0.18,0.1,0.27,0.07,0.13,0.07,0.19,0.08,0.13,0.14,0.12,0.12,0.04,0.04,0.12,0.12,0.04,0.04,0.12,0.12,0.04,0.04,0.49,0.48,0.27,0.37,-0.01,0,0.043,0.0179,0.042,0.042,0.033,0.026,0.021,0.067,0.066,0.12,0.06,0.0,0.0,0.0,0,D,False
Arsenal VS. Watford,0.0559,0.0165,0.2,0.22,0.3,0.13,0.2,0.2,0.2,0.18,0.23,0.13,0.17,0.2,0.2,0.17,0.15,0.1,0.1,0.13,0.1,0.1,0.12,0.11,0.16,0.14,0.12,0.12,0.06,0.05,0.13,0.1,0.06,0.03,0.11,0.13,0.04,0.05,0.56,0.42,0.54,0.34,0.04,0,0.0496,0.0637,0.049,0.035,0.02,0.024,0.029,0.027,0.087,0.097,0.06,0.0,0.0,0.0,0,D,False
Cardiff City VS. Burnley,0.0095,0.0082,0.03,0.07,0,0.1,0.03,0.03,0.05,0.12,0.1,0.13,0.07,0.07,0.07,0.11,0.23,0.17,0.4,0.1,0.27,0.17,0.3,0.14,0.11,0.2,0.09,0.1,0.02,0.03,0.13,0.2,0.06,0.07,0.14,0.12,0.04,0.04,0.34,0.45,0.26,0.35,-0.03,0.01,0.0038,0.0126,0.037,0.045,0.046,0.033,0.04,0.026,0.057,0.117,0.06,0.0,0.0,0.0,0,D,False
Chelsea VS. Liverpool,0.0874,0.0899,0.27,0.3,0.23,0.3,0.3,0.3,0.23,0.23,0.2,0.23,0.3,0.2,0.24,0.22,0.07,0.03,0.03,0.07,0.1,0.07,0.07,0.06,0.15,0.14,0.18,0.16,0.06,0.07,0.07,0.08,0.02,0.02,0.13,0.12,0.04,0.04,0.71,0.58,0.45,0.54,0,0.06,0.057,0.0998,0.041,0.037,0.031,0.024,0.024,0.029,0.109,0.248,0.06,0.0,0.0,0.0,0,D,False
Everton VS. Fulham,0.0435,0.0248,0.1,0.08,0.03,0.07,0.13,0.03,0.13,0.13,0.07,0.1,0.13,0.1,0.11,0.11,0.18,0.22,0.2,0.2,0.17,0.27,0.18,0.23,0.17,0.15,0.11,0.13,0.04,0.05,0.12,0.14,0.05,0.07,0.13,0.12,0.06,0.05,0.5,0.55,0.33,0.29,-0.02,0,0.0202,0.0079,0.046,0.041,0.025,0.026,0.033,0.039,0.064,0.067,0.06,0.0,0.0,0.0,0,D,False
Huddersfield Town VS. Tottenham Hotspur,0.0051,0.0834,0.03,0.2,0.03,0.1,0.03,0.22,0.05,0.2,0.07,0.13,0,0.2,0.04,0.18,0.23,0.12,0.17,0.17,0.13,0.1,0.18,0.13,0.08,0.18,0.06,0.14,0.02,0.06,0.15,0.13,0.06,0.04,0.1,0.15,0.03,0.06,0.42,0.6,0.33,0.35,-0.02,0.01,0.0088,0.067,0.068,0.041,0.034,0.026,0.037,0.028,0.066,0.114,0.06,0.0,0.0,0.0,0,D,False
Manchester City VS. Brighton & Hove Albion,0.1006,0.0061,0.27,0.08,0.3,0.07,0.3,0.03,0.32,0.13,0.33,0.17,0.37,0.07,0.34,0.12,0.05,0.18,0.03,0.2,0.07,0.17,0.05,0.18,0.26,0.09,0.21,0.09,0.09,0.03,0.06,0.15,0.02,0.06,0.18,0.07,0.07,0.02,0.71,0.38,0.54,0.40,0.03,-0.01,0.0597,0.0513,0.034,0.043,0.024,0.029,0.027,0.023,0.117,0.082,0.06,0.0,0.0,0.0,0,D,False
Newcastle United VS. Leicester City,0.0176,0.0333,0.03,0.15,0.03,0.1,0,0.1,0.07,0.18,0.07,0.2,0.1,0.17,0.08,0.18,0.13,0.17,0.13,0.23,0.2,0.23,0.16,0.21,0.14,0.17,0.07,0.1,0.02,0.04,0.14,0.09,0.04,0.04,0.08,0.12,0.03,0.04,0.34,0.51,0.36,0.35,0,0.01,0.0052,0.0257,0.048,0.05,0.029,0.024,0.037,0.023,0.105,0.052,0.06,0.0,0.0,0.0,0,D,False
West Ham United VS. Manchester United,0.0286,0.0855,0.07,0.17,0.13,0.23,0.03,0.2,0.08,0.15,0.1,0.17,0.03,0.2,0.07,0.17,0.18,0.15,0.07,0.07,0.1,0.13,0.12,0.12,0.09,0.14,0.1,0.13,0.03,0.06,0.16,0.1,0.06,0.04,0.1,0.15,0.04,0.06,0.42,0.58,0.37,0.45,0,0,0.0363,0.0323,0.045,0.044,0.029,0.024,0.04,0.037,0.087,0.063,0.06,0.0,0.0,0.0,0,D,False
Wolverhampton wanderers VS. Southampton,0.0197,0.0266,0.15,0.08,0.23,0.13,0.17,0.1,0.1,0.1,0.1,0.13,0.13,0.1,0.11,0.11,0.1,0.15,0.03,0.17,0.1,0.17,0.08,0.16,0.14,0.09,0.15,0.14,0.05,0.04,0.11,0.14,0.04,0.05,0.14,0.12,0.05,0.04,0.48,0.47,0.45,0.37,0,-0.01,0.0567,0.0131,0.033,0.033,0.03,0.035,0.05,0.04,0.108,0.09,0.06,0.0,0.0,0.0,0,D,False
