Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Real Ratio,Diff,Draw Ratio,Winner,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Manchester City VS. Chelsea,0.4412,0.2972,0.2616,0.4412,H,2.266545784,1.35,-0.916545784,4.05,H,1,0.674729434,1,1,1.482075555
Crystal Palace VS. Liverpool,0.7812,0.7812,0.1572,0.0616,A,1.280081925,1.35,0.069918075,3.85,A,1,0.555083806,1,1,1.801529767
Brighton & Hove Albion VS. Leicester City,0.504,0.504,0.2536,0.2424,A,1.984126984,1.9,-0.084126984,3.1,A,1,0.542879176,1,0,1.842030499
Arsenal VS. Southampton,0.5048,0.1176,0.3776,0.5048,H,1.980982567,1.4,-0.580982567,3.85,D,0,0.535510789,0,0,1.867376009
Everton VS. Norwich City,0.5648,0.112,0.3232,0.5648,H,1.770538244,1.3,-0.470538244,4.5,A,0,0.523240704,0,1,1.911166299
Sheffield United VS. Manchester United,0.4088,0.4088,0.2216,0.3696,A,2.446183953,2,-0.446183953,2.85,D,0,0.522635004,1,1,1.913381218
Aston Villa VS. Newcastle United,0.4376,0.244,0.3184,0.4376,H,2.285191956,1.95,-0.335191956,3,H,1,0.511931101,1,0,1.953387866
West Ham United VS. Tottenham Hotspur,0.4012,0.3548,0.244,0.4012,H,2.492522433,3.2,0.707477567,3.35,A,0,0.508540765,0,0,1.966410695
Watford VS. Burnley,0.4616,0.292,0.4616,0.2464,D,2.166377816,2.05,-0.116377816,2.95,A,0,0.500170051,0,1,1.999320025
Bournemouth VS. Wolverhampton Wanderers,0.5068,0.2212,0.272,0.5068,H,1.973164957,2.4,0.426835043,2.9,A,0,0.500079383,0,0,1.999682516
