Match,Winner Odds,Winner,Winner Ratio,Goals Odds,IsOver,Over Ratio
Bournemouth VS. Manchester United,0.4264,A,2.345215759849906,0.5312726911540662,1,1.8822725441199186
Arsenal VS. Liverpool,0.4008,A,2.4950099800399204,0.558116524429455,1,1.7917405348681776
Cardiff City VS. Leicester City,0.4344,A,2.3020257826887662,0.5257378335341203,0,1.9020887145933358
Chelsea VS. Crystal Palace,0.7192,H,1.3904338153503892,0.5655079593929672,1,1.7683217068658579
Everton VS. Brighton & Hove Albion,0.684,H,1.461988304093567,0.5017708376268698,1,1.9929416478835438
Huddersfield Town VS. Fulham,0.4264,H,2.345215759849906,0.533936354215688,0,1.8728823990060093
Manchester City VS. Southampton,0.9008,H,1.1101243339253997,0.6834846001011284,1,1.4630907555957222
Newcastle United VS. Watford,0.3764,D,2.6567481402763016,0.5133275278924896,1,1.9480739794056754
West Ham United VS. Burnley,0.5684,H,1.7593244194229414,0.554834927552732,0,1.8023378672478385
Wolverhampton wanderers VS. Tottenham Hotspur,0.436,A,2.293577981651376,0.5356236895712088,1,1.866982397288189
