Match,Winner Odds,Winner,Winner Ratio,Real Ratio,Diff,Winner,Winner Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Bournemouth VS. Liverpool,0.6776,A,1.47579693,1.45,-0.02579693,A,1,0.545923027,1,1,1.831760067
Everton VS. Watford,0.6544,H,1.528117359,1.55,0.021882641,D,0,0.531437397,0,0,1.881689179
Arsenal VS. Huddersfield Town,0.6376,H,1.56838143,1.15,-0.41838143,H,1,0.506395831,0,1,1.974739796
Manchester United VS. Fulham,0.5792,H,1.726519337,1.2,-0.526519337,H,1,0.515224221,1,1,1.94090254
Cardiff City VS. Southampton,0.4956,H,2.017756255,2.65,0.632243745,H,1,0.505581298,0,1,1.977921265
Chelsea VS. Manchester City,0.434,D,2.304147465,3.25,0.945852535,H,0,0.549537992,1,0,1.819710401
Leicester City VS. Tottenham Hotspur,0.4176,A,2.394636015,1.75,-0.644636015,A,1,0.520692849,1,0,1.920518021
Burnley VS. Brighton & Hove Albion,0.4024,H,2.485089463,2.7,0.214910537,H,1,0.50786187,0,1,1.969039336
West Ham United VS. Crystal Palace,0.3808,D,2.62605042,3,0.37394958,H,0,0.502019858,0,0,1.991953076
Newcastle United VS. Wolverhampton wanderers,0.3784,H,2.642706131,2.5,-0.142706131,,0,0.501982023,1,1,1.99210321
