Bournemouth VS. Leicester City,0.0164,0.0333,0.18,0.15,0.13,0.2,0.2,0.15,0.15,0.15,0.13,0.17,0.2,0.15,0.16,0.16,0.12,0.12,0.17,0.1,0.1,0.15,0.13,0.12,0.14,0.14,0.12,0.1,0.04,0.04,0.14,0.1,0.04,0.04,0.11,0.12,0.04,0.04,0.45,0.49,0.37,0.44,-0.01,-0.01,0.0394,0.0347,0.037,0.05,0.033,0.024,0.025,0.027,0.112,0.082,0.04,D,False
Chelsea VS. Cardiff City,0.0874,0.0095,0.3,0.05,0.3,0.07,0.3,0.05,0.25,0.05,0.23,0.07,0.25,0,0.24,0.04,0.08,0.12,0.1,0.1,0.1,0.1,0.09,0.11,0.18,0.07,0.19,0.12,0.06,0.02,0.09,0.12,0.02,0.06,0.15,0.11,0.06,0.02,0.7,0.4,0.54,0.40,0.03,-0.01,0.0712,0.0057,0.037,0.032,0.032,0.056,0.024,0.045,0.117,0.092,0.04,D,False
Everton VS. West Ham United,0.0435,0.0286,0.15,0,0.17,0,0.2,0,0.18,0.05,0.17,0.07,0.15,0.05,0.16,0.06,0.15,0.25,0.13,0.2,0.1,0.35,0.13,0.27,0.22,0.09,0.1,0.1,0.04,0.04,0.13,0.16,0.05,0.07,0.13,0.12,0.06,0.04,0.52,0.46,0.3,0.26,0,-0.03,0.0302,0,0.051,0.044,0.026,0.028,0.023,0.075,0.087,0.062,0.04,D,False
Huddersfield Town VS. Crystal Palace,0.0051,0.0215,0.05,0.08,0.07,0,0.05,0.15,0.05,0.08,0.07,0.03,0,0.15,0.04,0.09,0.25,0.15,0.23,0.2,0.15,0.1,0.21,0.15,0.09,0.15,0.06,0.12,0.02,0.05,0.18,0.16,0.06,0.06,0.11,0.15,0.04,0.06,0.4,0.44,0.34,0.26,0,-0.03,0.0132,0.0186,0.064,0.036,0.028,0.023,0.045,0.07,0.07,0.105,0.04,D,False
Manchester City VS. Fulham,0.1006,0.0248,0.25,0.1,0.23,0.13,0.3,0.05,0.28,0.18,0.3,0.23,0.4,0.15,0.32,0.19,0.08,0.22,0.1,0.23,0.1,0.25,0.09,0.24,0.28,0.14,0.23,0.15,0.09,0.06,0.07,0.16,0.02,0.07,0.19,0.11,0.08,0.04,0.71,0.57,0.45,0.37,0.01,0,0.0639,0.0077,0.031,0.038,0.025,0.023,0.033,0.037,0.093,0.071,0.04,D,False
Newcastle United VS. Arsenal,0.0176,0.0559,0.02,0.15,0.03,0.2,0,0.15,0.08,0.2,0.07,0.27,0.1,0.25,0.08,0.24,0.15,0.2,0.13,0.2,0.2,0.25,0.16,0.22,0.15,0.2,0.09,0.14,0.03,0.08,0.16,0.17,0.04,0.07,0.13,0.16,0.05,0.06,0.32,0.53,0.33,0.38,-0.02,0.02,0.0024,0.0286,0.036,0.037,0.03,0.019,0.04,0.038,0.11,0.085,0.04,D,False
Southampton VS. Brighton & Hove Albion,0.0266,0.0061,0.1,0.1,0.1,0.13,0.05,0,0.1,0.12,0.13,0.17,0.05,0,0.09,0.1,0.1,0.18,0.13,0.17,0.1,0.15,0.11,0.16,0.13,0.1,0.16,0.08,0.04,0.02,0.14,0.15,0.06,0.05,0.16,0.11,0.05,0.04,0.48,0.38,0.35,0.34,0.01,0,0.0182,0.0703,0.03,0.046,0.036,0.033,0.045,0.02,0.142,0.086,0.04,D,False
Tottenham Hotspur VS. Liverpool,0.0834,0.0899,0.22,0.3,0.2,0.3,0.3,0.3,0.22,0.22,0.23,0.17,0.3,0.2,0.25,0.2,0.1,0.02,0.1,0.03,0.1,0.05,0.1,0.04,0.14,0.15,0.15,0.16,0.06,0.06,0.14,0.08,0.03,0.03,0.11,0.15,0.04,0.05,0.57,0.62,0.44,0.54,-0.01,0.03,0.0959,0.0671,0.038,0.037,0.026,0.025,0.026,0.029,0.138,0.31,0.04,D,False
Watford VS. Manchester United,0.0165,0.0855,0.3,0.15,0.3,0.1,0.3,0.15,0.22,0.15,0.23,0.13,0.2,0.2,0.22,0.16,0.08,0.18,0.1,0.2,0.07,0.15,0.08,0.18,0.2,0.12,0.12,0.14,0.05,0.05,0.08,0.08,0.02,0.03,0.1,0.11,0.04,0.04,0.43,0.57,0.54,0.35,0.03,0.01,0.0894,0.0311,0.036,0.041,0.025,0.027,0.021,0.035,0.113,0.046,0.04,D,False
Wolverhampton wanderers VS. Burnley,0.0197,0.0082,0.12,0.02,0.13,0,0.1,0.05,0.1,0.08,0.07,0.1,0.15,0.1,0.11,0.09,0.12,0.22,0.1,0.3,0.15,0.2,0.12,0.24,0.17,0.11,0.12,0.1,0.04,0.03,0.11,0.17,0.04,0.07,0.14,0.1,0.05,0.03,0.49,0.47,0.37,0.26,0.01,-0.03,0.0575,0.0066,0.041,0.047,0.032,0.036,0.038,0.037,0.086,0.076,0.04,D,False
