Home Team: Liverpool
Away Team: Everton

Strength Expected Winner: Home (82.00%)
Expected Goals: 3.3 (Average Std: 1.4)

Liverpool Expected Result According to Form: W (0.51, Count: 82, DWW)
Everton Expected Result According to Form: W (0.39, Count: 78, LWW)
Letters Expected Results: Home (51%)

-----------------------

Liverpool Top Scorer: Mohamed Salah (12)
Everton Top Scorer: Wayne Rooney (7)

-----------------------

Liverpool Scoring positions: 
Forward => 19
Midfielder => 12
Defender => 1
NA => 1

Everton Scoring positions: 
Forward => 14
Defender => 3
Midfielder => 2

Liverpool Conceded positions: 
Forward => 10
Midfielder => 8
Defender => 1

Everton Conceded positions: 
Forward => 13
Midfielder => 12
Defender => 3
