Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Real Ratio,Diff,Winner,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Wolverhampton Wanderers VS. Aston Villa,0.364,0.364,0.2828,0.3532,A,2.747252747,3.55,0.802747253,H,0,0.505144473,1,1,1.979631676
Southampton VS. Everton,0.5304,0.5304,0.1944,0.2752,A,1.885369532,2.25,0.364630468,A,1,0.520576239,1,1,1.920948219
Leicester City VS. Arsenal,0.6384,0.2076,0.154,0.6384,H,1.56641604,1.9,0.33358396,H,1,0.570017568,1,0,1.754331894
Norwich City VS. Watford,0.476,0.332,0.192,0.476,H,2.100840336,2.4,0.299159664,A,0,0.504854775,0,1,1.980767638
Liverpool VS. Manchester City,0.436,0.29,0.274,0.436,H,2.293577982,2.5,0.206422018,H,1,0.592987773,1,1,1.686375411
Chelsea VS. Crystal Palace,0.7688,0.0328,0.1984,0.7688,H,1.300728408,1.25,-0.050728408,H,1,0.520925845,1,0,1.919659026
Newcastle United VS. Bournemouth,0.3992,0.2452,0.3556,0.3992,H,2.50501002,2.35,-0.15501002,H,1,0.508866027,1,1,1.965153788
Manchester United VS. Brighton & Hove Albion,0.5544,0.2388,0.2068,0.5544,H,1.803751804,1.5,-0.303751804,H,1,0.50618189,1,1,1.975574432
Tottenham Hotspur VS. Sheffield United,0.516,0.192,0.292,0.516,H,1.937984496,1.55,-0.387984496,D,0,0.511024468,0,1,1.956853462
Burnley VS. West Ham United,0.35,0.328,0.322,0.35,H,2.857142857,2.1,-0.757142857,H,1,0.50683149,1,1,1.973042361
,,,,,,,,,,,,,,
