Home Team: Everton
Away Team: Watford

Strength Expected Winner: Draw (61.00%)
Expected Goals: 3.14 (Average Std: 1.3)

Everton Expected Result According to Form: L (0.48, Count: 83, DLL)
Watford Expected Result According to Form: W (0.39, Count: 81, WLL)
Letters Expected Results: Away (88%)

-----------------------

Everton Top Scorer: Wayne Rooney (4)
Watford Top Scorer: Abdoulaye Doucouré (4)

-----------------------

Everton Scoring positions: 
Forward => 7

Watford Scoring positions: 
Midfielder => 7
Forward => 6
Defender => 2

Everton Conceded positions: 
Forward => 10
Midfielder => 8
Defender => 2

Watford Conceded positions: 
Forward => 12
Defender => 4
Midfielder => 2
