Match,Winner Odds,Winner,Winner Ratio,Real Ratio,Diff,Winner,Winner Correct,Goals Odds,IsOver,OverCorrect,Over Ratio
Wolverhampton wanderers VS. Huddersfield Town,0.6552,H,1.526251526,1.4,-0.126251526,A,0,0.537722339,0,1,1.859695847
West Ham United VS. Manchester City,0.6444,A,1.551831161,1.15,-0.401831161,A,1,0.521435091,1,1,1.917784242
Everton VS. Cardiff City,0.6352,H,1.574307305,1.3,-0.274307305,H,1,0.512885779,1,0,1.949751856
Manchester United VS. Crystal Palace,0.6068,H,1.647989453,1.3,-0.347989453,D,0,0.518120334,0,1,1.930053568
Watford VS. Liverpool,0.5596,A,1.786990708,1.3,-0.486990708,A,1,0.519973846,1,1,1.92317365
Tottenham Hotspur VS. Chelsea,0.49,A,2.040816327,2.35,0.309183673,H,0,0.533374889,1,1,1.874853916
Brighton & Hove Albion VS. Leicester City,0.456,H,2.192982456,2.8,0.607017544,D,0,0.517812047,1,0,1.931202655
Bournemouth VS. Arsenal,0.3848,D,2.598752599,1.8,-0.798752599,A,0,0.519995387,1,1,1.923093985
Burnley VS. Newcastle United,0.3684,H,2.714440825,2.45,-0.264440825,A,0,0.528951816,0,0,1.890531369
Fulham VS. Southampton,0.352,H,2.840909091,2.35,-0.490909091,H,1,0.57073505,1,1,1.752126491
